window,n_selected,avg_is_ic,avg_oos_ic,test_start,test_end
0,10,0.02920246768902508,0.03684955872932767,2009-04-23 09:05:00,2009-05-25 18:30:00
1,9,0.029573590487421603,0.0525816048468884,2009-05-25 18:35:00,2009-06-25 12:40:00
2,8,0.03277351297902514,0.04877368612525908,2009-06-25 12:45:00,2009-07-28 03:10:00
3,15,0.036055584846887125,0.027516067253159013,2009-07-28 03:15:00,2009-08-27 05:45:00
4,13,0.03634112905104825,0.053422506861469404,2009-08-27 05:50:00,2009-09-28 14:30:00
5,18,0.03739525728686857,0.051900196624298886,2009-09-28 14:35:00,2009-10-29 13:40:00
6,19,0.03793678196360605,0.043381582738354976,2009-10-29 13:45:00,2009-12-01 03:30:00
7,13,0.04365905469171319,0.04570071913589889,2009-12-01 03:35:00,2010-01-04 15:50:00
8,14,0.047752796717611165,0.038336742869688155,2010-01-04 15:55:00,2010-02-03 21:50:00
9,13,0.04669902964481287,0.04291803529563384,2010-02-03 21:55:00,2010-03-08 08:10:00
10,18,0.040527179937136434,0.05257829545888694,2010-03-08 08:15:00,2010-04-08 04:25:00
11,21,0.040148110478359096,0.02104554490180757,2010-04-08 04:30:00,2010-05-10 09:00:00
12,20,0.035179264031633295,0.03251833754651392,2010-05-10 09:05:00,2010-06-09 12:30:00
13,13,0.029863440162420655,0.025115772816118133,2010-06-09 12:35:00,2010-07-11 19:55:00
14,10,0.029420487568204683,0.05130810958657219,2010-07-11 20:00:00,2010-08-10 22:50:00
15,6,0.03296852443901073,0.029351731506324585,2010-08-10 22:55:00,2010-09-10 06:00:00
16,9,0.03291405490833733,0.07124918542172716,2010-09-10 06:05:00,2010-10-12 07:50:00
17,20,0.03890982831028485,0.04179647248486376,2010-10-12 07:55:00,2010-11-11 06:35:00
18,20,0.043732550693360725,0.033141482695764606,2010-11-11 06:40:00,2010-12-13 18:20:00
19,20,0.04305233310543983,0.04650295178221866,2010-12-13 18:25:00,2011-01-14 04:20:00
20,21,0.04740834294660481,0.04512739005088647,2011-01-14 04:25:00,2011-02-15 10:35:00
21,21,0.03927818113529585,0.02751724159542423,2011-02-15 10:40:00,2011-03-17 15:45:00
22,14,0.031126236843090415,0.04254664730584544,2011-03-17 15:50:00,2011-04-18 15:10:00
23,14,0.03245319695501191,0.03202421002380342,2011-04-18 15:30:00,2011-05-19 15:50:00
24,6,0.037064265160128666,0.01957229412190817,2011-05-19 15:55:00,2011-06-21 00:30:00
25,10,0.029733096766605828,0.03543994780697586,2011-06-21 00:35:00,2011-07-21 05:15:00
26,7,0.027802539405141963,0.020261291028644792,2011-07-21 05:20:00,2011-08-22 04:05:00
27,2,0.03151300658376387,0.049463210182153376,2011-08-22 04:10:00,2011-09-21 07:35:00
28,8,0.028480218879936466,0.025878192308399522,2011-09-21 07:40:00,2011-10-21 04:05:00
29,10,0.028379206980680895,0.0340779269016942,2011-10-21 04:10:00,2011-11-22 02:00:00
30,7,0.027293555878117815,0.03884910165762729,2011-11-22 02:05:00,2011-12-22 08:50:00
31,4,0.027595456149615942,0.03267368797413431,2011-12-22 08:55:00,2012-01-26 21:45:00
32,9,0.025757222463361047,0.04530426056998414,2012-01-26 21:50:00,2012-02-28 03:30:00
33,9,0.0319784979725843,0.053537172944150745,2012-02-28 03:35:00,2012-03-29 01:50:00
